"ARL0_target","delta","m","Bonferroni","Holm","BH","Raw_p"
370,0,0,0.0030267753201397,0.0030267753201397,0.00349243306169965,0.0342840512223516
370,0,1,0.00377624167946749,0.00377624167946749,0.00441628264208909,0.0347542242703533
370,0,2,0.00376811594202899,0.00384057971014493,0.00384057971014493,0.0358695652173913
370,0.05,0,0.00316820276497696,0.0032258064516129,0.00368663594470046,0.0339861751152074
370,0.05,1,0.00381702153038707,0.00393630345321167,0.00483091787439614,0.0382894972266953
370,0.05,2,0.00440584088620342,0.00440584088620342,0.00509818731117825,0.0362537764350453
370,0.1,0,0.00358588779641411,0.00358588779641411,0.00393290919606709,0.0357432041642568
370,0.1,1,0.00268952765170617,0.00291365495601502,0.0047066733904858,0.0347957639939486
370,0.1,2,0.0024375,0.0025,0.0034375,0.03125
370,0.15,0,0.00317640385706183,0.00317640385706183,0.00346001134429949,0.0337492909812819
370,0.15,1,0.00261111111111111,0.00272222222222222,0.00444444444444444,0.0342777777777778
370,0.15,2,0.0025,0.0025,0.0040625,0.0291875
370,0.2,0,0.00234192037470726,0.00234192037470726,0.00234192037470726,0.0324941451990632
370,0.2,1,0.00216666666666667,0.00244444444444444,0.00411111111111111,0.0329444444444444
370,0.2,2,0.0015625,0.001625,0.0028125,0.024125
370,0.3,0,0.00345622119815668,0.00345622119815668,0.00385944700460829,0.0373847926267281
370,0.3,1,0.00255555555555556,0.00261111111111111,0.00438888888888889,0.0298333333333333
370,0.3,2,0.00075,0.000875,0.002625,0.0190625
370,0.4,0,0.00374208405296488,0.00379965457685665,0.00397236614853195,0.0384571099597006
370,0.4,1,0.00194444444444444,0.00205555555555556,0.00411111111111111,0.026
370,0.4,2,0.0004375,5e-04,0.00175,0.01475
500,0,0,0.00498687664041995,0.00498687664041995,0.0062992125984252,0.0420603674540682
500,0,1,0.00469280196375713,0.00469280196375713,0.00584795321637427,0.0430293841599884
500,0,2,0.00388301387970919,0.00396563119629874,0.00413086582947786,0.0417217448777264
500,0.05,0,0.00590525632706035,0.00603504218040234,0.00700843608046723,0.0436729396495782
500,0.05,1,0.00521528970298289,0.00540609298479934,0.00667811486357565,0.0478280226419894
500,0.05,2,0.00418356997971602,0.00424695740365112,0.00551470588235294,0.0411384381338742
500,0.1,0,0.00524916943521595,0.0053156146179402,0.00571428571428571,0.0419933554817276
500,0.1,1,0.00429961529757864,0.00435618918307309,0.00633627517537905,0.0436750396017198
500,0.1,2,0.003,0.0030625,0.0046875,0.0385625
500,0.15,0,0.00516795865633075,0.00529715762273902,0.0060077519379845,0.041343669250646
500,0.15,1,0.00333500083375021,0.00355733422266689,0.00516925129231282,0.0400755933522317
500,0.15,2,0.00175,0.0018125,0.0039375,0.0328125
500,0.2,0,0.0041042345276873,0.0041042345276873,0.0044299674267101,0.0418892508143322
500,0.2,1,0.00327777777777778,0.00338888888888889,0.00572222222222222,0.0397777777777778
500,0.2,2,0.0014375,0.0015,0.0035625,0.0275
500,0.3,0,0.00474083438685209,0.00474083438685209,0.00524652338811631,0.0429203539823009
500,0.3,1,0.00255555555555556,0.00266666666666667,0.00516666666666667,0.0346111111111111
500,0.3,2,0.0013125,0.0015625,0.003625,0.0235
500,0.4,0,0.00439706862091939,0.00439706862091939,0.00506329113924051,0.0405729513657562
500,0.4,1,0.00238888888888889,0.00255555555555556,0.00466666666666667,0.0296666666666667
500,0.4,2,0.0013125,0.0014375,0.003375,0.0178125
